timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1506463353.255,42.969,37.109,50.781,46.387,-30.762,0
1506463353.258,44.922,36.133,42.969,38.086,20.508,0
1506463353.262,41.016,34.180,40.039,34.668,31.250,0
1506463353.266,25.879,27.832,34.668,30.762,28.809,0
1506463353.270,21.484,23.438,31.738,29.297,40.039,0
1506463353.274,21.973,24.902,33.691,29.297,30.273,0
1506463353.278,22.949,25.391,33.691,27.344,59.082,0
1506463353.282,22.461,20.020,27.832,21.484,36.133,0
1506463353.286,15.137,16.113,23.438,17.578,20.508,0
1506463353.290,14.648,15.625,22.461,18.066,22.949,0
1506463353.294,27.344,23.926,28.809,24.414,35.156,0
1506463353.297,33.203,26.855,33.203,27.344,6.348,0
1506463353.301,31.738,23.438,30.273,27.344,-24.414,0
1506463353.305,38.086,28.809,34.180,34.180,43.945,0
1506463353.309,43.945,32.715,35.645,38.574,59.570,0
1506463353.313,30.762,24.902,30.762,34.668,24.902,0
1506463353.317,19.531,20.508,29.785,32.715,23.926,0
1506463353.321,11.230,16.113,22.949,30.273,28.809,0
1506463353.325,4.883,11.719,16.602,24.902,49.316,0
1506463353.329,18.066,20.020,25.391,31.250,47.363,0
1506463353.333,28.320,28.320,29.297,35.645,20.508,0
1506463353.337,30.762,27.832,24.414,29.785,48.340,0
1506463353.340,38.086,33.691,26.855,31.250,37.598,0
1506463353.344,45.898,37.598,30.762,34.180,43.457,0
1506463353.348,50.293,35.156,31.738,39.062,62.988,0
1506463353.352,54.688,39.062,37.109,47.363,61.035,0
1506463353.356,52.734,40.527,37.598,47.852,63.477,0
1506463353.360,46.875,38.574,36.621,50.781,63.477,0
1506463353.364,39.062,35.156,32.715,47.363,75.684,0
1506463353.368,34.668,30.273,27.832,38.574,88.867,0
1506463353.372,36.621,30.273,30.273,38.086,67.383,0
